,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
631307,2014-12-26 00:00:00,1900-01-01 19:30:00,,,,,,FOREST AVENUE                   ,HARBOR ROAD                     ,,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,,,,3143881,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
631313,2014-12-26 00:00:00,1900-01-01 19:40:00,,,,,,,,455 GRANDVIEW AVENUE                    ,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,3143882,PASSENGER VEHICLE,,,,
631712,2014-12-25 00:00:00,1900-01-01 03:30:00,MANHATTAN,10011,40.742863899999996,-74.0039696,"(40.7428639, -74.0039696)",9 AVENUE                        ,WEST 17 STREET                  ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Other Vehicular,Other Vehicular,,,3142825,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
631714,2014-12-25 00:00:00,1900-01-01 03:35:00,,,,,,CRESCENT STREET                 ,CONDUIT BOULEVARD               ,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3143276,SPORT UTILITY / STATION WAGON,,,,
631756,2014-12-25 00:00:00,1900-01-01 09:30:00,QUEENS,11373,40.74323029999999,-73.8705237,"(40.7432303, -73.8705237)",46 AVENUE                       ,94 STREET                       ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3143434,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
631940,2014-12-24 00:00:00,1900-01-01 15:15:00,MANHATTAN,10027,40.8089731,-73.9483252,"(40.8089731, -73.9483252)",WEST 125 STREET                 ,7 AVENUE                        ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3142868,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
632059,2014-12-24 00:00:00,1900-01-01 18:00:00,,,40.6887701,-73.999062,"(40.6887701, -73.999062)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3142977,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,
632120,2014-12-24 00:00:00,1900-01-01 20:00:00,BRONX,10458,40.866612700000005,-73.8903603,"(40.8666127, -73.8903603)",BAINBRIDGE AVENUE               ,EAST 196 STREET                 ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Reaction to Other Uninvolved Vehicle,Unspecified,,,3143203,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
632746,2014-12-23 00:00:00,1900-01-01 01:00:00,BROOKLYN,11226,40.644281299999996,-73.95251390000001,"(40.6442813, -73.9525139)",CORTELYOU ROAD                  ,VERONICA PLACE                  ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Traffic Control Disregarded,,,,3141851,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
632821,2014-12-23 00:00:00,1900-01-01 21:10:00,STATEN ISLAND,10301,40.6196995,-74.1077068,"(40.6196995, -74.1077068)",CLOVE ROAD                      ,FAIRWAY LANE                    ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3142777,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
632900,2014-12-23 00:00:00,1900-01-01 06:30:00,STATEN ISLAND,10306,40.558132799999996,-74.1297222,"(40.5581328, -74.1297222)",EMMETT AVENUE                   ,DURANT AVENUE                   ,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3142238,PASSENGER VEHICLE,,,,
633112,2014-12-22 00:00:00,1900-01-01 13:20:00,BRONX,10460,40.843298499999996,-73.8868423,"(40.8432985, -73.8868423)",MARMION AVENUE                  ,EAST TREMONT AVENUE             ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3141761,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
633191,2014-12-22 00:00:00,1900-01-01 15:30:00,QUEENS,11361,40.7602845,-73.76934969999999,"(40.7602845, -73.7693497)",NORTHERN BOULEVARD              ,BELL BOULEVARD                  ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3141443,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
633265,2014-12-22 00:00:00,1900-01-01 17:26:00,,,,,,3 AVENUE                        ,CROSS BRONX EXPRESSWAY          ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3141763,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
633302,2014-12-22 00:00:00,1900-01-01 18:00:00,BROOKLYN,11205,40.6980388,-73.9628402,"(40.6980388, -73.9628402)",FLUSHING AVENUE                 ,WILLIAMSBURG STREET WEST        ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3141992,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
633373,2014-12-22 00:00:00,1900-01-01 19:30:00,BROOKLYN,11206,40.695376700000004,-73.9492066,"(40.6953767, -73.9492066)",MYRTLE AVENUE                   ,MARCY AVENUE                    ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3141952,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
633380,2014-12-22 00:00:00,1900-01-01 19:55:00,BROOKLYN,11211,40.7107873,-73.9599439,"(40.7107873, -73.9599439)",SOUTH 4 STREET                  ,ROEBLING STREET                 ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Fatigued/Drowsy,,,,3141986,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
633478,2014-12-22 00:00:00,1900-01-01 03:11:00,BROOKLYN,11214,40.6075652,-73.98796390000001,"(40.6075652, -73.9879639)",BAY PARKWAY                     ,76 STREET                       ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3141175,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
633479,2014-12-22 00:00:00,1900-01-01 03:15:00,MANHATTAN,10038,40.7132425,-73.9982253,"(40.7132425, -73.9982253)",OLIVER STREET                   ,ST JAMES PLACE                  ,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3140952,PASSENGER VEHICLE,,,,
633889,2014-12-21 00:00:00,1900-01-01 22:35:00,BRONX,10452,40.83679620000001,-73.91947940000001,"(40.8367962, -73.9194794)",EAST 168 STREET                 ,GERARD AVENUE                   ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Other Vehicular,,,,3141085,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
633898,2014-12-21 00:00:00,1900-01-01 23:00:00,QUEENS,11433,40.6981513,-73.79240379999999,"(40.6981513, -73.7924038)",107 AVENUE                      ,BREWER BOULEVARD                ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3141347,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
633921,2014-12-21 00:00:00,1900-01-01 03:00:00,STATEN ISLAND,10308,40.554041299999994,-74.14054240000002,"(40.5540413, -74.1405424)",AMBOY ROAD                      ,AINSWORTH AVENUE                ,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3141517,PASSENGER VEHICLE,,,,
633937,2014-12-21 00:00:00,1900-01-01 04:40:00,QUEENS,11429,40.7118601,-73.73553829999999,"(40.7118601, -73.7355383)",104 AVENUE                      ,219 STREET                      ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3140800,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
633945,2014-12-21 00:00:00,1900-01-01 05:06:00,BROOKLYN,11220,40.6475898,-74.0114127,"(40.6475898, -74.0114127)",48 STREET                       ,4 AVENUE                        ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,Unspecified,,,3140701,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
634368,2014-12-20 00:00:00,1900-01-01 22:24:00,QUEENS,11377,40.7542804,-73.8975005,"(40.7542804, -73.8975005)",NORTHERN BOULEVARD              ,69 STREET                       ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,,,3140916,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
634409,2014-12-20 00:00:00,1900-01-01 02:50:00,BRONX,10456,40.8322821,-73.90961970000001,"(40.8322821, -73.9096197)",EAST 168 STREET                 ,WEBSTER AVENUE                  ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,,,,3140116,TAXI,PASSENGER VEHICLE,,,
634443,2014-12-20 00:00:00,1900-01-01 05:06:00,QUEENS,11357,40.79198710000001,-73.81721429999999,"(40.7919871, -73.8172143)",10 AVENUE                       ,149 STREET                      ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3140383,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
634590,2014-12-19 00:00:00,1900-01-01 12:00:00,,,,,,FOREST HILL ROAD                ,INDEPENDENCE AVENUE             ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Fatigued/Drowsy,,,,3139976,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
634746,2014-12-19 00:00:00,1900-01-01 16:05:00,,,,,,31 ROAD                         ,CROSS ISLAND PARKWAY            ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Driver Inexperience,Unspecified,,,3140860,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
634807,2014-12-19 00:00:00,1900-01-01 17:20:00,MANHATTAN,10001,40.7539088,-73.99961379999999,"(40.7539088, -73.9996138)",10 AVENUE                       ,WEST 33 STREET                  ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3139507,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
634916,2014-12-19 00:00:00,1900-01-01 19:40:00,QUEENS,11691,40.6038099,-73.7521216,"(40.6038099, -73.7521216)",MOTT AVENUE                     ,SMITH PLACE                     ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3145104,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
634928,2014-12-19 00:00:00,1900-01-01 01:11:00,QUEENS,11368,40.758026,-73.8577531,"(40.758026, -73.8577531)",NORTHERN BOULEVARD              ,112 STREET                      ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3140901,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
634929,2014-12-19 00:00:00,1900-01-01 01:15:00,MANHATTAN,10011,40.7422847,-74.0044171,"(40.7422847, -74.0044171)",WEST 16 STREET                  ,9 AVENUE                        ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3139492,,,,,
634931,2014-12-19 00:00:00,1900-01-01 01:50:00,MANHATTAN,10012,40.7203211,-73.9940403,"(40.7203211, -73.9940403)",KENMARE STREET                  ,BOWERY                          ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3140476,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
635031,2014-12-19 00:00:00,1900-01-01 02:00:00,MANHATTAN,10016,40.7497247,-73.9836217,"(40.7497247, -73.9836217)",5 AVENUE                        ,WEST 36 STREET                  ,,3,0,0,0,0,0,3,0,Alcohol Involvement,Unspecified,,,,3139518,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
635148,2014-12-18 00:00:00,1900-01-01 00:40:00,STATEN ISLAND,10308,40.5441149,-74.14801259999999,"(40.5441149, -74.1480126)",NELSON AVENUE                   ,DAVID STREET                    ,,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,3139990,SPORT UTILITY / STATION WAGON,,,,
635378,2014-12-18 00:00:00,1900-01-01 16:00:00,QUEENS,11354,40.764651,-73.823484,"(40.764651, -73.823484)",PARSONS BOULEVARD               ,NORTHERN BOULEVARD              ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,,,,3139384,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
635546,2014-12-18 00:00:00,1900-01-01 01:55:00,QUEENS,11375,40.7365766,-73.8540497,"(40.7365766, -73.8540497)",HORACE HARDING EXPRESSWAY       ,YELLOWSTONE BOULEVARD           ,,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,3139408,PASSENGER VEHICLE,,,,
635640,2014-12-18 00:00:00,1900-01-01 04:30:00,,,,,,,,F/O OCEAN DRIVE WEST                    ,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,,,,3139141,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
635764,2014-12-17 00:00:00,1900-01-01 00:50:00,MANHATTAN,10001,40.7465803,-73.99755309999999,"(40.7465803, -73.9975531)",8 AVENUE                        ,WEST 25 STREET                  ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3138272,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
636044,2014-12-17 00:00:00,1900-01-01 18:05:00,,,40.7325591,-73.92508259999998,"(40.7325591, -73.9250826)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3138763,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
636102,2014-12-17 00:00:00,1900-01-01 01:45:00,QUEENS,11368,40.7522607,-73.868207,"(40.7522607, -73.868207)",99 STREET                       ,37 AVENUE                       ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,,,,3143861,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
636143,2014-12-17 00:00:00,1900-01-01 22:25:00,BROOKLYN,11203,40.6516058,-73.93329659999999,"(40.6516058, -73.9332966)",CHURCH AVENUE                   ,SCHENECTADY AVENUE              ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Fatigued/Drowsy,,,,3139187,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
636166,2014-12-17 00:00:00,1900-01-01 03:20:00,BROOKLYN,11203,40.6516058,-73.93329659999999,"(40.6516058, -73.9332966)",CHURCH AVENUE                   ,SCHENECTADY AVENUE              ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3139190,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
636773,2014-12-16 00:00:00,1900-01-01 21:31:00,BROOKLYN,11212,40.6594846,-73.918295,"(40.6594846, -73.918295)",ROCKAWAY PARKWAY                ,LENOX ROAD                      ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3138550,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
637194,2014-12-15 00:00:00,1900-01-01 14:49:00,BRONX,10453,40.8504784,-73.91542530000001,"(40.8504784, -73.9154253)",UNIVERSITY AVENUE               ,WEST TREMONT AVENUE             ,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3137763,PASSENGER VEHICLE,,,,
637426,2014-12-15 00:00:00,1900-01-01 01:15:00,QUEENS,11355,40.75933,-73.8259671,"(40.75933, -73.8259671)",41 AVENUE                       ,UNION STREET                    ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3138781,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
637433,2014-12-15 00:00:00,1900-01-01 01:49:00,,,,,,MAIN STREET                     ,MANTON STREET                   ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3137399,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
637534,2014-12-15 00:00:00,1900-01-01 05:40:00,MANHATTAN,10037,40.815600200000006,-73.93975429999999,"(40.8156002, -73.9397543)",,,540 LENOX AVENUE                        ,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,,,,3137078,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
637692,2014-12-14 00:00:00,1900-01-01 00:30:00,,,,,,,,1919 74 ST(FENCE)                       ,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,3136593,PASSENGER VEHICLE,,,,
637720,2014-12-14 00:00:00,1900-01-01 11:30:00,QUEENS,11691,40.5962568,-73.766834,"(40.5962568, -73.766834)",ROCKAWAY FREEWAY                ,SEAGIRT BOULEVARD               ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3137344,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
637981,2014-12-14 00:00:00,1900-01-01 20:30:00,QUEENS,11413,40.6824037,-73.7518042,"(40.6824037, -73.7518042)",SPRINGFIELD BOULEVARD           ,LUCAS STREET                    ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3137500,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
637998,2014-12-14 00:00:00,1900-01-01 21:50:00,BROOKLYN,11210,40.63429420000001,-73.9429769,"(40.6342942, -73.9429769)",GLENWOOD ROAD                   ,EAST 35 STREET                  ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3137225,VAN,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
638029,2014-12-14 00:00:00,1900-01-01 02:00:00,BROOKLYN,11238,40.672414399999994,-73.95733890000001,"(40.6724144, -73.9573389)",FRANKLIN AVENUE                 ,SAINT JOHNS PLACE               ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,Unspecified,,,3136690,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
638043,2014-12-14 00:00:00,1900-01-01 03:00:00,,,40.6670766,-73.7826497,"(40.6670766, -73.7826497)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3136862,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
638066,2014-12-14 00:00:00,1900-01-01 05:00:00,BROOKLYN,11236,40.64366079999999,-73.90066850000001,"(40.6436608, -73.9006685)",ROCKAWAY PARKWAY                ,FLATLANDS AVENUE                ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3136637,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
638072,2014-12-14 00:00:00,1900-01-01 05:33:00,QUEENS,11372,40.7561462,-73.8797894,"(40.7561462, -73.8797894)",NORTHERN BOULEVARD              ,88 STREET                       ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3136907,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
638074,2014-12-14 00:00:00,1900-01-01 05:40:00,BROOKLYN,11218,40.6362793,-73.9653823,"(40.6362793, -73.9653823)",DITMAS AVENUE                   ,ARGYLE ROAD                     ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3136650,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
638087,2014-12-14 00:00:00,1900-01-01 08:00:00,,,,,,EAST 143 STREET                 ,3 AVENUE                        ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3136492,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
638110,2014-12-13 00:00:00,1900-01-01 00:01:00,QUEENS,11419,40.6894756,-73.8276856,"(40.6894756, -73.8276856)",101 AVENUE                      ,117 STREET                      ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3136205,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
638248,2014-12-13 00:00:00,1900-01-01 13:45:00,,,,,,HORACE HARDING EXPRESSWAY       ,KISSENA BOULEVARD               ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Other Vehicular,,,,3136267,BUS,SPORT UTILITY / STATION WAGON,,,
638267,2014-12-13 00:00:00,1900-01-01 14:20:00,,,,,,,,BROOKLTN TERMINAL MARKET (LOT)          ,1,0,1,0,0,0,0,0,Alcohol Involvement,,,,,3136097,SPORT UTILITY / STATION WAGON,,,,
638446,2014-12-13 00:00:00,1900-01-01 19:00:00,,,40.7821423,-73.8248379,"(40.7821423, -73.8248379)",WHITESTONE EXPRESSWAY EAST SR   ,20 AVENUE                       ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,,,,3137426,SPORT UTILITY / STATION WAGON,LARGE COM VEH(6 OR MORE TIRES),,,
638483,2014-12-13 00:00:00,1900-01-01 01:15:00,QUEENS,11421,40.6975581,-73.85277190000001,"(40.6975581, -73.8527719)",WOODHAVEN BOULEVARD             ,PARK LA SOUTH                   ,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3136204,PASSENGER VEHICLE,,,,
638598,2014-12-13 00:00:00,1900-01-01 02:30:00,,,40.606898,-74.0854047,"(40.606898, -74.0854047)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3136938,PASSENGER VEHICLE,,,,
638615,2014-12-13 00:00:00,1900-01-01 03:44:00,QUEENS,11413,40.6735531,-73.73878690000001,"(40.6735531, -73.7387869)",135 AVENUE                      ,232 STREET                      ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,3136225,SPORT UTILITY / STATION WAGON,VAN,UNKNOWN,UNKNOWN,
638616,2014-12-13 00:00:00,1900-01-01 03:45:00,STATEN ISLAND,10310,40.624524,-74.1170123,"(40.624524, -74.1170123)",MARTLING AVENUE                 ,CLOVE ROAD                      ,,2,0,0,0,0,0,2,0,Alcohol Involvement,,,,,3136328,PASSENGER VEHICLE,,,,
638626,2014-12-13 00:00:00,1900-01-01 04:30:00,STATEN ISLAND,10312,40.558886799999996,-74.1976949,"(40.5588868, -74.1976949)",ARDEN AVENUE                    ,ARTHUR KILL ROAD                ,,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,3136354,PASSENGER VEHICLE,,,,
638805,2014-12-12 00:00:00,1900-01-01 12:00:00,,,,,,AMBOY ROAD                      ,OLD AMBOY ROAD                  ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3135804,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
638847,2014-12-12 00:00:00,1900-01-01 13:20:00,,,40.7710377,-73.8341189,"(40.7710377, -73.8341189)",LINDEN PLACE                    ,WHITESTONE EXPRESSWAY           ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,,,,3135717,PASSENGER VEHICLE,VAN,,,
638900,2014-12-12 00:00:00,1900-01-01 14:45:00,MANHATTAN,10026,40.801528499999996,-73.952557,"(40.8015285, -73.952557)",WEST 114 STREET                 ,SAINT NICHOLAS AVENUE           ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3135946,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
639210,2014-12-12 00:00:00,1900-01-01 22:40:00,,,40.7461367,-73.8360403,"(40.7461367, -73.8360403)",,,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,,,3154046,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,TAXI,,
639238,2014-12-12 00:00:00,1900-01-01 02:00:00,STATEN ISLAND,10304,40.5865799,-74.1056696,"(40.5865799, -74.1056696)",FLAGG PLACE                     ,WEST ENTRY ROAD                 ,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,,,3135803,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
639835,2014-12-11 00:00:00,1900-01-01 21:15:00,MANHATTAN,10012,40.7250066,-73.9993434,"(40.7250066, -73.9993434)",PRINCE STREET                   ,GREENE STREET                   ,,1,0,0,0,1,0,0,0,Alcohol Involvement,Unspecified,,,,3135202,PASSENGER VEHICLE,BICYCLE,,,
639871,2014-12-11 00:00:00,1900-01-01 22:30:00,,,,,,QUEENS BOULEVARD                ,51 AVENUE                       ,,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,Unspecified,,,3135725,PASSENGER VEHICLE,PASSENGER VEHICLE,VAN,,
639915,2014-12-11 00:00:00,1900-01-01 04:20:00,BROOKLYN,11223,40.601001200000006,-73.9793801,"(40.6010012, -73.9793801)",AVENUE S                        ,WEST 7 STREET                   ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3134799,VAN,PASSENGER VEHICLE,LIVERY VEHICLE,,
640004,2014-12-11 00:00:00,1900-01-01 09:00:00,BROOKLYN,11233,40.6841469,-73.92295920000001,"(40.6841469, -73.9229592)",MACON STREET                    ,RALPH AVENUE                    ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3134904,PASSENGER VEHICLE,PICK-UP TRUCK,,,
640063,2014-12-10 00:00:00,1900-01-01 00:10:00,BROOKLYN,11215,40.660789799999996,-73.99400240000001,"(40.6607898, -73.9940024)",22 STREET                       ,5 AVENUE                        ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,3134277,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
640152,2014-12-10 00:00:00,1900-01-01 13:00:00,QUEENS,11356,40.7816495,-73.8366945,"(40.7816495, -73.8366945)",20 AVENUE                       ,132 STREET                      ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Alcohol Involvement,,,,3135076,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
640310,2014-12-10 00:00:00,1900-01-01 16:50:00,,,,,,,,BEACH CHANNEL DRIVE                     ,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,3135591,SPORT UTILITY / STATION WAGON,,,,
640331,2014-12-10 00:00:00,1900-01-01 17:15:00,MANHATTAN,10019,40.770415,-73.9876168,"(40.770415, -73.9876168)",10 AVENUE                       ,WEST 59 STREET                  ,,0,0,0,0,0,0,0,0,Alcohol Involvement,Lost Consciousness,,,,3134611,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,
640590,2014-12-10 00:00:00,1900-01-01 06:15:00,QUEENS,11385,40.7029703,-73.86824320000001,"(40.7029703, -73.8682432)",80 STREET                       ,MYRTLE AVENUE                   ,,1,0,1,0,0,0,0,0,Alcohol Involvement,,,,,3134385,PASSENGER VEHICLE,,,,
640710,2014-12-09 00:00:00,1900-01-01 00:30:00,,,40.8744985,-73.92760859999999,"(40.8744985, -73.9276086)",,,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3133398,PASSENGER VEHICLE,,,,
